title,number,score,platform,release_date,web_page
Legacy of Kain: Soul Reaver,155,9.0,PlayStation,"August 16, 1999",https://www.metacritic.com/game/playstation/legacy-of-kain-soul-reaver
Thief: The Dark Project,156,9.0,PC,"November 30, 1998",https://www.metacritic.com/game/pc/thief-the-dark-project
Crash Bandicoot 3: Warped,157,9.0,PlayStation,"October 31, 1998",https://www.metacritic.com/game/playstation/crash-bandicoot-3-warped
Parasite Eve,158,9.0,PlayStation,"September 9, 1998",https://www.metacritic.com/game/playstation/parasite-eve
The Curse of Monkey Island,159,9.0,PC,"October 31, 1997",https://www.metacritic.com/game/pc/the-curse-of-monkey-island
GoldenEye 007,160,9.0,Nintendo 64,"August 25, 1997",https://www.metacritic.com/game/nintendo-64/goldeneye-007
Hades,161,8.9,PC,"September 17, 2020",https://www.metacritic.com/game/pc/hades
Persona 4 Golden,162,8.9,PC,"June 13, 2020",https://www.metacritic.com/game/pc/persona-4-golden
DOOM Eternal,163,8.9,PlayStation 4,"March 20, 2020",https://www.metacritic.com/game/playstation-4/doom-eternal
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,164,8.9,Switch,"September 27, 2019",https://www.metacritic.com/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition
AI: The Somnium Files,165,8.9,PlayStation 4,"September 17, 2019",https://www.metacritic.com/game/playstation-4/ai-the-somnium-files
Fire Emblem: Three Houses,166,8.9,Switch,"July 26, 2019",https://www.metacritic.com/game/switch/fire-emblem-three-houses
Katana ZERO,167,8.9,PC,"April 18, 2019",https://www.metacritic.com/game/pc/katana-zero
Resident Evil 2,168,8.9,PlayStation 4,"January 25, 2019",https://www.metacritic.com/game/playstation-4/resident-evil-2
RimWorld,169,8.9,PC,"October 17, 2018",https://www.metacritic.com/game/pc/rimworld
Astro Bot: Rescue Mission,170,8.9,PlayStation 4,"October 2, 2018",https://www.metacritic.com/game/playstation-4/astro-bot-rescue-mission
Super Mario Odyssey,171,8.9,Switch,"October 27, 2017",https://www.metacritic.com/game/switch/super-mario-odyssey
Kingdom Hearts HD I.5 + II.5 Remix,172,8.9,PlayStation 4,"March 28, 2017",https://www.metacritic.com/game/playstation-4/kingdom-hearts-hd-i5-+-ii5-remix
NieR: Automata,173,8.9,PlayStation 4,"March 7, 2017",https://www.metacritic.com/game/playstation-4/nier-automata
Dark Souls III,174,8.9,PlayStation 4,"April 12, 2016",https://www.metacritic.com/game/playstation-4/dark-souls-iii
Mario Kart 8 DLC Pack 2,175,8.9,Wii U,"April 23, 2015",https://www.metacritic.com/game/wii-u/mario-kart-8-dlc-pack-2
The Legend of Zelda: Majora's Mask 3D,176,8.9,3DS,"February 13, 2015",https://www.metacritic.com/game/3ds/the-legend-of-zelda-majoras-mask-3d
Kingdom Hearts HD 2.5 ReMIX,177,8.9,PlayStation 3,"December 2, 2014",https://www.metacritic.com/game/playstation-3/kingdom-hearts-hd-25-remix
Super Smash Bros. for Wii U,178,8.9,Wii U,"November 21, 2014",https://www.metacritic.com/game/wii-u/super-smash-bros-for-wii-u
Mario Kart 8 DLC Pack 1,179,8.9,Wii U,"November 13, 2014",https://www.metacritic.com/game/wii-u/mario-kart-8-dlc-pack-1
Bayonetta 2,180,8.9,Wii U,"September 20, 2014",https://www.metacritic.com/game/wii-u/bayonetta-2
Steins;Gate,181,8.9,PC,"March 31, 2014",https://www.metacritic.com/game/pc/steinsgate
Donkey Kong Country: Tropical Freeze,182,8.9,Wii U,"February 21, 2014",https://www.metacritic.com/game/wii-u/donkey-kong-country-tropical-freeze
Super Mario 3D World,183,8.9,Wii U,"November 22, 2013",https://www.metacritic.com/game/wii-u/super-mario-3d-world
Tearaway,184,8.9,PlayStation Vita,"November 22, 2013",https://www.metacritic.com/game/playstation-vita/tearaway
The Wolf Among Us: Episode 1 - Faith,185,8.9,PC,"October 11, 2013",https://www.metacritic.com/game/pc/the-wolf-among-us-episode-1---faith
Black Mesa,186,8.9,PC,"September 14, 2012",https://www.metacritic.com/game/pc/black-mesa
Metal Gear Solid HD Collection,187,8.9,PlayStation 3,"November 8, 2011",https://www.metacritic.com/game/playstation-3/metal-gear-solid-hd-collection
To the Moon,188,8.9,PC,"November 1, 2011",https://www.metacritic.com/game/pc/to-the-moon
Dark Souls,189,8.9,PlayStation 3,"October 4, 2011",https://www.metacritic.com/game/playstation-3/dark-souls
Final Fantasy IV: The Complete Collection,190,8.9,PSP,"April 18, 2011",https://www.metacritic.com/game/psp/final-fantasy-iv-the-complete-collection
Red Dead Redemption,191,8.9,PlayStation 3,"May 18, 2010",https://www.metacritic.com/game/playstation-3/red-dead-redemption
Mount & Blade: Warband,192,8.9,PC,"March 30, 2010",https://www.metacritic.com/game/pc/mount-blade-warband
Mass Effect 2,193,8.9,PC,"January 26, 2010",https://www.metacritic.com/game/pc/mass-effect-2
Mass Effect 2,194,8.9,Xbox 360,"January 26, 2010",https://www.metacritic.com/game/xbox-360/mass-effect-2
The Secret of Monkey Island: Special Edition,195,8.9,PC,"July 15, 2009",https://www.metacritic.com/game/pc/the-secret-of-monkey-island-special-edition
Pokemon Platinum Version,196,8.9,DS,"March 22, 2009",https://www.metacritic.com/game/ds/pokemon-platinum-version
Mega Man 9,197,8.9,Xbox 360,"October 1, 2008",https://www.metacritic.com/game/xbox-360/mega-man-9
Tales of Vesperia,198,8.9,Xbox 360,"August 26, 2008",https://www.metacritic.com/game/xbox-360/tales-of-vesperia
Final Fantasy XII: Revenant Wings,199,8.9,DS,"November 20, 2007",https://www.metacritic.com/game/ds/final-fantasy-xii-revenant-wings
Supreme Commander: Forged Alliance,200,8.9,PC,"November 6, 2007",https://www.metacritic.com/game/pc/supreme-commander-forged-alliance
Resident Evil 4: Wii Edition,201,8.9,Wii,"June 19, 2007",https://www.metacritic.com/game/wii/resident-evil-4-wii-edition
Winning Eleven: Pro Evolution Soccer 2007,202,8.9,PlayStation 2,"February 6, 2007",https://www.metacritic.com/game/playstation-2/winning-eleven-pro-evolution-soccer-2007
The Legend of Zelda: Twilight Princess,203,8.9,GameCube,"December 11, 2006",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-twilight-princess
Bully,204,8.9,PlayStation 2,"October 17, 2006",https://www.metacritic.com/game/playstation-2/bully
Tales of the Abyss,205,8.9,PlayStation 2,"October 10, 2006",https://www.metacritic.com/game/playstation-2/tales-of-the-abyss
"Warhammer 40,000: Dawn of War - Dark Crusade",206,8.9,PC,"October 9, 2006",https://www.metacritic.com/game/pc/warhammer-40000-dawn-of-war---dark-crusade
Valkyrie Profile 2: Silmeria,207,8.9,PlayStation 2,"September 26, 2006",https://www.metacritic.com/game/playstation-2/valkyrie-profile-2-silmeria
Mega Man ZX,208,8.9,DS,"September 12, 2006",https://www.metacritic.com/game/ds/mega-man-zx
Space Rangers 2: Rise of the Dominators,209,8.9,PC,"March 27, 2006",https://www.metacritic.com/game/pc/space-rangers-2-rise-of-the-dominators
Mega Man X Collection,210,8.9,GameCube,"January 10, 2006",https://www.metacritic.com/game/gamecube/mega-man-x-collection
Need for Speed Most Wanted,211,8.9,PlayStation 2,"November 15, 2005",https://www.metacritic.com/game/playstation-2/need-for-speed-most-wanted
Star Wars: Battlefront II (2005),212,8.9,Xbox,"November 1, 2005",https://www.metacritic.com/game/xbox/star-wars-battlefront-ii-2005
Fire Emblem: Path of Radiance,213,8.9,GameCube,"October 17, 2005",https://www.metacritic.com/game/gamecube/fire-emblem-path-of-radiance
Doom 3: Resurrection of Evil,214,8.9,Xbox,"October 5, 2005",https://www.metacritic.com/game/xbox/doom-3-resurrection-of-evil
Sly 3: Honor Among Thieves,215,8.9,PlayStation 2,"September 26, 2005",https://www.metacritic.com/game/playstation-2/sly-3-honor-among-thieves
Mortal Kombat: Shaolin Monks,216,8.9,PlayStation 2,"September 16, 2005",https://www.metacritic.com/game/playstation-2/mortal-kombat-shaolin-monks
Burnout Revenge,217,8.9,PlayStation 2,"September 13, 2005",https://www.metacritic.com/game/playstation-2/burnout-revenge
Grand Theft Auto: San Andreas,218,8.9,PC,"June 7, 2005",https://www.metacritic.com/game/pc/grand-theft-auto-san-andreas
Fire Emblem: The Sacred Stones,219,8.9,Game Boy Advance,"May 23, 2005",https://www.metacritic.com/game/game-boy-advance/fire-emblem-the-sacred-stones
Pokemon Emerald Version,220,8.9,Game Boy Advance,"April 30, 2005",https://www.metacritic.com/game/game-boy-advance/pokemon-emerald-version
God of War,221,8.9,PlayStation 2,"March 22, 2005",https://www.metacritic.com/game/playstation-2/god-of-war
TimeSplitters: Future Perfect,222,8.9,PlayStation 2,"March 21, 2005",https://www.metacritic.com/game/playstation-2/timesplitters-future-perfect
